#N iterations error
20 134 4777.970267 4777.873013 3087.519324 6 2.468667 2.468670 89210.997515
40 581 19177.838783 19177.813349 12106.131235 6 2.464791 2.467718 1345766.935555
60 1321 43177.809579 43177.802265 27038.587023 6 2.466218 2.467542 10472851.148271
80 2307 76777.792732 76777.798383 47884.886687 6 2.466729 2.467480 24028729.674462
100 3519 119977.777423 119977.796586 74645.030227 3 2.466970 2.467452 11051534.404528
